CLIENT_CODE,FILE_NBR,SUBMISSION_NUMBER,LINE_NUMBER,INPATIENT_REVENUE,OUTPATIENT_REVENUE,TOTAL_REVENUE,INPATIENT_DEDUCTION,OUTPATIENT_DEDUCTION,TOTAL_DEDUCTION,NET_INPATIENT_REVENUE,NET_OUTPATIENT_REVENUE,NET_PATIENT_REVENUE
23,100010,1.00010010120191e+35,19,1746280560,663821741,2410102301,1458980643,592909858,2051890501,287299917,70911883,358211800
23,100010,1.00010010120191e+35,20,,,,,,,,,
23,100010,1.00010010120191e+35,21,1746280560,663821741,2410102301,1458980643,592909858,2051890501,287299917,70911883,358211800
23,100010,1.00010010120191e+35,22,,,1460457972,,,1167048100,,,293409872
23,100012,1.00012100120181e+35,1,,,,47214971,82259460,129474431,-47214971,-82259460,-129474431
23,100012,1.00012100120181e+35,2,140850540,155179816,296030356,,,,140850540,155179816,296030356
23,100012,1.00012100120181e+35,3,,,,,,,,,
23,100012,1.00012100120181e+35,4,,,,143029526,78503085,221532611,-143029526,-78503085,-221532611
23,100012,1.00012100120181e+35,5,836087823,698041112,1534128935,685530724,585080459,1270611183,150557099,112960653,263517752
23,100012,1.00012100120181e+35,6,,,,,,,,,
23,100012,1.00012100120181e+35,7,50786423,34141637,84928060,39718581,28317438,68036019,11067842,5824199,16892041
23,100012,1.00012100120181e+35,8,,,,,,,,,
23,100012,1.00012100120181e+35,9,,,,,,,,,
23,100012,1.00012100120181e+35,10,465522921,363220431,828743352,385808926,308370931,694179857,79713995,54849500,134563495
23,100012,1.00012100120181e+35,11,432488201,381036016,813524217,359781434,338488900,698270334,72706767,42547116,115253883
23,100012,1.00012100120181e+35,12,413303228,565819484,979122712,210148822,300806826,510955648,203154406,265012658,468167064
23,100012,1.00012100120181e+35,13,,,,,,,,,
23,100012,1.00012100120181e+35,14,170138200,187183076,357321276,94566442,88677302,183243744,75571758,98505774,174077532
23,100012,1.00012100120181e+35,15,,,,,,,,,
23,100012,1.00012100120181e+35,16,,,,32719663,80744513,113464176,-32719663,-80744513,-113464176
23,100012,1.00012100120181e+35,17,,,,,,,,,
23,100012,1.00012100120181e+35,18,,,,,,,,,
23,100012,1.00012100120181e+35,19,2509177336,2384621572,4893798908,1998519089,1891248914,3889768003,510658247,493372658,1004030905
23,100012,1.00012100120181e+35,20,,,,,,,,,
23,100012,1.00012100120181e+35,21,2509177336,2384621572,4893798908,1998519089,1891248914,3889768003,510658247,493372658,1004030905
23,100012,1.00012100120181e+35,22,,,2621390281,,,1903405839,,,717984442
23,100014,1.00014010120191e+35,1,,,,7147278,13020799,20168077,-7147278,-13020799,-20168077
23,100014,1.00014010120191e+35,2,15064631,15620374,30685005,,,,15064631,15620374,30685005
23,100014,1.00014010120191e+35,3,,,,,,,,,
23,100014,1.00014010120191e+35,4,,,,5170297,3774781,8945078,-5170297,-3774781,-8945078
23,100014,1.00014010120191e+35,5,72227495,66679977,138907472,55905305,54457439,110362744,16322190,12222538,28544728
23,100014,1.00014010120191e+35,6,4677548,3734764,8412312,4321720,2896908,7218628,355828,837856,1193684
23,100014,1.00014010120191e+35,7,3834229,6827806,10662035,2982739,4835749,7818488,851490,1992057,2843547
23,100014,1.00014010120191e+35,8,,,,,,,,,
23,100014,1.00014010120191e+35,9,,,,,,,,,
23,100014,1.00014010120191e+35,10,75134534,67508755,142643289,59079066,54562232,113641298,16055468,12946523,29001991
23,100014,1.00014010120191e+35,11,8321031,13458768,21779799,7275298,11946806,19222104,1045733,1511962,2557695
